Jenjang,Mata Pelajaran,Materi,Sub Materi,Link
12,Fisika,Relativitas Khusus,Dilatasi Waktu & Kontraksi Panjang,https://www.youtube.com/watch?v=PvZfidyDG2E&pp=ygUiRGlsYXRhc2kgV2FrdHUgJiBLb250cmFrc2kgUGFuamFuZw%3D%3D
12,Fisika,Fisika Modern,Dualisme Gelombang-Partikel,https://www.youtube.com/watch?v=XvTZLTsyFd0&pp=ygUbRHVhbGlzbWUgR2Vsb21iYW5nLVBhcnRpa2Vs
12,Fisika,Fisika Modern,Efek Fotolistrik,https://www.youtube.com/watch?v=XYRmj7Lt_EQ&pp=ygUQRWZlayBGb3RvbGlzdHJpaw%3D%3D
12,Fisika,Fisika Modern,Teori Kuantum,https://www.youtube.com/watch?v=88Y7B_zgLk4&pp=ygUWVGVvcmkgS3VhbnR1bSBrZWxhcyAxMg%3D%3D
10,Matematika,Bilangan,Eksponen,https://youtu.be/ncMPC_rh5do?si=BfCuoMHU_Ibr-ZO0
10,Matematika,Bilangan,Bentuk Akar,https://youtu.be/ohzZ43OXzQc?si=f7fcVJM9nJw5ftwW
10,Matematika,Bilangan,Logaritma,https://youtu.be/1GTO34Gm5ho?si=8fkC381UJ8Qlx7Zk
10,Matematika,Bilangan,Barisan dan Deret Aritmatika,https://youtu.be/vKtQB8YX7VU?feature=shared
10,Matematika,Bilangan,Barisan dan Deret Geometri,https://youtu.be/zyglN6v6ID8?feature=shared
10,Matematika,Bilangan,Deret Geometri Tak Hingga,https://youtu.be/5F9l6BifTnA?feature=shared
10,Matematika,Bilangan,Aplikasi Barisan dan Deret,https://youtu.be/0LtDgtL_r_w?feature=shared
10,Matematika,Bilangan,Aplikasi Barisan dan Deret (Anuitas),https://youtu.be/aBmlMUI-cfs?feature=shared
10,Matematika,Bilangan,Aplikasi Barisan dan Deret (Pertumbuhan dan Peluruhan),https://youtu.be/8WbOt7R2z0s?feature=shared
10,Matematika,Aljabar dan Fungsi,Sistem Persamaan Linear Dua Variabel,https://youtu.be/H_l5LZ03bac?feature=shared
10,Matematika,Aljabar dan Fungsi,Sistem Pertidaksamaan Linear Dua Variabel,https://youtu.be/24h2XNAp3Is?feature=shared
10,Matematika,Aljabar dan Fungsi,Persamaan Kuadrat,https://youtu.be/HE_9PX0vjJk?feature=shared
10,Matematika,Aljabar dan Fungsi,Fungsi Kuadrat,https://youtu.be/qYZqAAAvnO8?feature=shared
10,Matematika,Aljabar dan Fungsi,Persamaan Eksponen,https://youtu.be/iusRD8yr9-Y?feature=shared
10,Matematika,Aljabar dan Fungsi,Fungsi Eksponen,https://youtu.be/Ug3lEim46zw?feature=shared
10,Matematika,Trigonometri,Perbandingan Trigonometri (Perbandingan Trigonometri pada Segitiga Siku Siku),https://youtu.be/L8rmE5rbsw0?feature=shared
10,Matematika,Trigonometri,Perbandingan Trigonometri (Mengukur Tinggi Benda menggunakan Clinometer),https://youtu.be/zikZ-V05xbQ?feature=shared
10,Matematika,Trigonometri,Perbandingan Trigonometri (Sudut Istimewa),https://youtu.be/ElJFIPKocy8?feature=shared
10,Matematika,Statistika,Pengenalan dan Manfaat Statistika,https://youtu.be/WQ9wIu-Dhkw?feature=shared
10,Matematika,Statistika,"Jangkauan, Kuartil, dan Interkuartil",https://youtu.be/UMMtJgmpwZc?feature=shared
10,Matematika,Statistika,Box Plot,https://youtu.be/Hu567u9l7Hk?feature=shared
10,Matematika,Statistika,"Perbedaan Box Plot, Histogram, dan Dot Plort",https://youtu.be/QtD3WlSKHwk?feature=shared
10,Matematika,Statistika,Diagram Pencar,https://youtu.be/Qsaih4o5aOM?feature=shared
10,Matematika,Peluang,Pengenalan dan Manfaat Peluang,https://youtu.be/a4V9sHQBuGg?feature=shared
10,Matematika,Peluang,Pengertian Peluang,https://youtu.be/MdAWjFHXcj8?feature=shared
10,Matematika,Peluang,Frekuensi Harapan,https://youtu.be/Qc9PZUpAcYc?feature=shared
10,Matematika,Peluang,Konsep Kejadian Saling Bebas,https://youtu.be/-xRfF_xU1VY?feature=shared
10,Matematika,Peluang,Konsep Kejadian Saling Lepas,https://youtu.be/Gruu3t8Afso?feature=shared
11,Matematika,Induksi Matematika,Induksi Matematika Pembuktian Deret Bilangan,https://youtu.be/e8uAx8ULEhY?feature=shared
11,Matematika,Induksi Matematika,Induksi Matematika Pembuktian Keterbagian,https://youtu.be/ZfxPFHBEmvg?feature=shared
11,Matematika,Induksi Matematika,Induksi Matematika Pembuktian Pertidaksamaan,https://youtu.be/15uY57754tQ?feature=shared
11,Matematika,Program Linear,Program Linear Bagian 1,https://youtu.be/c5NBcC2xMx8?feature=shared
11,Matematika,Program Linear,Program Linear Bagian 2,https://youtu.be/SlWGw3OhgXg?feature=shared
11,Matematika,Program Linear,Program Linear Bagian 3,https://youtu.be/nky5dpzgG3E?feature=shared
11,Matematika,Matriks,Pengenalan Matriks,https://youtu.be/HqssIxIg7T4?feature=shared
11,Matematika,Matriks,Operasi Matriks,https://youtu.be/2mIQgRSsGyc?feature=shared
11,Matematika,Matriks,Determinan Matriks,https://youtu.be/0Ipy1aKNZa8?feature=shared
11,Matematika,Matriks,"Minor, Kofaktor, dan Adjoin",https://youtu.be/KWNkmpEpVBY?feature=shared
11,Matematika,Matriks,Invers Matriks,https://youtu.be/CzrlEdZdhB0?feature=shared
11,Matematika,Transformasi Geometri,Translasi,https://youtu.be/iojzS-0DI_g?feature=shared
11,Matematika,Transformasi Geometri,Refleksi,https://youtu.be/qT9pr1C_SDY?feature=shared
11,Matematika,Transformasi Geometri,Rotasi,https://youtu.be/lBFnXBvfvnY?feature=shared
11,Matematika,Transformasi Geometri,Dilatasi,https://youtu.be/uMxYXmfCLgA?feature=shared
11,Matematika,Transformasi Geometri,Transformasi Matriks,https://youtu.be/KBX6B1-ULF0?feature=shared
11,Matematika,Limit Fungsi Aljabar,Limit Fungsi Aljabar,https://youtu.be/zE8m4xNizDY?feature=shared
11,Matematika,Turunan Fungsi Aljabar,Konsep Dasar Turunan Fungsi Aljabar,https://youtu.be/TE1BqPXXX7E?feature=shared
11,Matematika,Turunan Fungsi Aljabar,Aplikasi Turunan,https://youtu.be/oKLSwrbcYaU?feature=shared
11,Matematika,Integral Fungsi Aljabar,Konsep Dasar Integral Fungsi Aljabar,https://youtu.be/1gG1Md4EV3U?feature=shared
11,Matematika,Integral Fungsi Aljabar,Teknik Substitusi dan Parsial,https://youtu.be/lGK8BV52kj4?feature=shared
11,Matematika,Integral Fungsi Aljabar,Integral tentu,https://youtu.be/_IHMYE0f6jE?feature=shared
11,Matematika,Integral Fungsi Aljabar,Menentukan Luas Daerah menggunakan Integral,https://youtu.be/mkpKs8bsp0I?feature=shared
11,Matematika,Integral Fungsi Aljabar,Menentukan Volume Benda Putar menggunakan Integral,https://youtu.be/-kI9uhmtENc?feature=shared
11,Matematika,Integral Fungsi Aljabar,Integral Trigonometri,https://youtu.be/9NkwVaT9goM?feature=shared
11,Matematika,Identitas Trigonometri,Sudut Rangkap,https://youtu.be/ZIv282apBow?feature=shared
11,Matematika,Identitas Trigonometri,Penjumlahan dan Selisih Dua Sudut,https://youtu.be/8A6pMt553rI?feature=shared
11,Matematika,Lingkaran,Konsep Dasar dan Persamaan Lingkaran,https://youtu.be/A1EVg6s0NDg?feature=shared
11,Matematika,Lingkaran,Kedudukan Titik terhadap Lingkaran,https://youtu.be/UkcVkfMUU6w?feature=shared
11,Matematika,Lingkaran,Kedudukan Garis terhadap Lingkaran,https://youtu.be/rZKv9W_7EQo?feature=shared
11,Matematika,Lingkaran,Kedudukan 2 Buah Lingkaran,https://youtu.be/XsjcCGW8J9U?feature=shared
11,Matematika,Lingkaran,Persamaan Garis Singgung melalui Titik pada Lingkaran,https://youtu.be/Y_mciDUQ-EY?feature=shared
11,Matematika,Lingkaran,Menentukan Persamaan Garis Singgung Lingkaran jika Diketahui Gradiennya,https://youtu.be/nCUht9D5MKg?feature=shared
11,Matematika,Polinomial,Pengertian Peluang dan Operasi Polinomial,https://youtu.be/2oPK0eMkwQg?feature=shared
11,Matematika,Polinomial,Menentukan Nilai Polinomial dengan Subtitusi dan Skema Horner,https://youtu.be/2yXGcZwHlcQ?feature=shared
11,Matematika,Polinomial,"Pembagian Polinomial cara Bersusun, Horner, dan Horner-Kino",https://youtu.be/IcMsjdqXQ10?feature=shared
11,Matematika,Polinomial,Teorema Sisa dan Faktor,https://youtu.be/cvaFiVOmcJ4?feature=shared
11,Matematika,Polinomial,Menentukan Akar Akar Persamaan Polinomial,https://youtu.be/wHTGxIrINvw?feature=shared
11,Matematika,Polinomial,Jumlah dan Hasil Kali Akar Akar Persamaan Polinomial dengan Teorema Vieta,https://youtu.be/0S0aF2nGuSo?feature=shared
12,Matematika,Dimensi Tiga,Jarak Titik ke Titik,https://youtu.be/xWA4AKKUQPU?feature=shared
12,Matematika,Dimensi Tiga,Jarak Titik ke Garis,https://youtu.be/IOxRkDZ04xM?feature=shared
12,Matematika,Dimensi Tiga,Jarak Titik ke Bidang,https://youtu.be/jy2MJ8Hd1lY?feature=shared
12,Matematika,Statistika,Distribusi Frekuensi,https://youtu.be/zT4Pk6m0KtQ?feature=shared
12,Matematika,Statistika,Rataan Hitung,https://youtu.be/XQ8UJAMJcUQ?feature=shared
12,Matematika,Statistika,Modus,https://youtu.be/1tQAn-wylgg?feature=shared
12,Matematika,Statistika,Median dan Kuartil,https://youtu.be/9oP4zCpNOnY?feature=shared
12,Matematika,Statistika,Desil,https://youtu.be/aIwPoEOxEC4?feature=shared
12,Matematika,Statistika,Persentil,https://youtu.be/I3oh6NCkgp4?feature=shared
12,Matematika,Statistika,Simpangan Baku dan Varians,https://youtu.be/_qQ1JUdQ0d8?feature=shared
12,Matematika,Kaidah Pencacahan,Aturan Penjumlahan dan Perkalian,https://youtu.be/P6kH3U2fsOQ?feature=shared
12,Matematika,Kaidah Pencacahan,Aturan Pengisian Tempat,https://youtu.be/7LQxxuIQLlo?feature=shared
12,Matematika,Kaidah Pencacahan,Permutasi dan Kombinasi,https://youtu.be/706fNr8BKDc?feature=shared
12,Matematika,Peluang,"Definisi Peluang, Komplemen Kejadian, dan Frekuensi Harapan",https://youtu.be/GUV4D1hJKrA?feature=shared
12,Matematika,Peluang,"Kejadian Majemuk (Saling Lepas, Tidak Saling Lepas, Saling Bebas, dan Bersyarat)",https://youtu.be/BChA08e53q0?feature=shared
12,Matematika,Limit,Limit Fungsi Trigonometri,https://youtu.be/_nrLpuoZAgo?feature=shared
12,Matematika,Limit,Limit Tak Hingga Fungsi Aljabar,https://youtu.be/xr1ZGe4JwC0?feature=shared
12,Matematika,Limit,Limit Tak Hingga Fungsi Trigonometri,https://youtu.be/Q00FVXseRnI?feature=shared
12,Matematika,Limit,"Asimtot Datar, Tegak, Miring",https://youtu.be/mHapYu9bmQk?feature=shared
12,Matematika,Turunan,Turunan Fungsi Trigonometri,https://youtu.be/Dm8l1JeNva4?feature=shared
12,Matematika,Distribusi Binomial,Distribusi Binomial,https://youtu.be/ssq7qswqgHI?feature=shared
10,Kimia,Sistem Periodik Unsur dan Struktur Atom,Perkembangan Tabel Periodik Unsur,https://youtu.be/4HucdpXAFTg?feature=shared
10,Kimia,Sistem Periodik Unsur dan Struktur Atom,Struktur Atom,https://youtu.be/KaAipzqkDdg?feature=shared
10,Kimia,Sistem Periodik Unsur dan Struktur Atom,Perkembangan Model Atom,https://youtu.be/wc7k5ODRamE?feature=shared
10,Kimia,Ikatan Kimia,Kestabilan Atom,https://youtu.be/aIKaaJFvXcM?feature=shared
10,Kimia,Ikatan Kimia,Ikatan Ion,https://youtu.be/VuqKie6uNQs?feature=shared
10,Kimia,Ikatan Kimia,Ikatan Kovalen,https://youtu.be/88veSU0gHdM?feature=shared
10,Kimia,Ikatan Kimia,Penyimpangan Kaidah Oktet,https://youtu.be/tlDz9sO3BOk?feature=shared
10,Kimia,Ikatan Kimia,Ikatan Logam,https://youtu.be/UIw1vW80KoA?feature=shared
10,Kimia,Ikatan Kimia,Bentuk Molekul,https://youtu.be/AfRYtA0BR44?feature=shared
10,Kimia,Ikatan Kimia,Hibridisasi Molekul,https://youtu.be/62gFdGX9_0w?feature=shared
10,Kimia,Ikatan Kimia,Molekul Polar dan Non Polar,https://youtu.be/0Z9jY2yKvjw?feature=shared
10,Kimia,Ikatan Kimia,Gaya Antar Molekul,https://youtu.be/t_inEarAf5o?feature=shared
10,Kimia,Stokiometri,Massa Atom Relatif dan Molekul Relatif,https://youtu.be/z96_eP5lzRU?feature=shared
10,Kimia,Stokiometri,Konsep Mol,https://youtu.be/OrPTznxYvx8?feature=shared
10,Kimia,Stokiometri,Rumus Empiris dan Molekul,https://youtu.be/GQqo9tiWtjg?feature=shared
10,Kimia,Stokiometri,Persamaan Reaksi,https://youtu.be/pZNr73KBXog?feature=shared
10,Kimia,Stokiometri,Kadar Unsur dalam Senyawa,https://youtu.be/MJo5oZ9a0YA?feature=shared
10,Kimia,Stokiometri,Pereaksi Pembatas,https://youtu.be/hMFVlcZHHmw?feature=shared
10,Kimia,Stokiometri,Rumus Kimia Senyawa Hidrat,https://youtu.be/47fa6dp8jjg?feature=shared
10,Kimia,Stokiometri,Konsentrasi Larutan,https://youtu.be/kwhoO8o359w?feature=shared
10,Kimia,Larutan Elektrolit dan Non Elektrolit,Larutan Elektrolit dan Non Elektrolit 1,https://youtu.be/8jwYzF-Nqdc?feature=shared
10,Kimia,Larutan Elektrolit dan Non Elektrolit,Larutan Elektrolit dan Non Elektrolit 2,https://youtu.be/J4uIvMSAM9I?feature=shared
10,Kimia,Larutan Elektrolit dan Non Elektrolit,Hubungan Sifat Elektrolit dengan Ikatan Kimia,https://youtu.be/Xj_OeKkCt9c?feature=shared
10,Kimia,Hidrokarbon,Penggolongan Hidrokarbon,https://youtu.be/s8z1LNJtFtw?feature=shared
10,Kimia,Hidrokarbon,Tata Nama Alkana,https://youtu.be/HXzUk70i0wU?feature=shared
10,Kimia,Hidrokarbon,Isomer dan Sifat Sifat Alkana,https://youtu.be/38tFcT8Gzd4?feature=shared
10,Kimia,Hidrokarbon,Tata Nama Alkena,https://youtu.be/vOBDTkFI37c?feature=shared
10,Kimia,Hidrokarbon,Isomer Alkena,https://youtu.be/Ck8lQit29sI?feature=shared
10,Kimia,Hidrokarbon,Sifat Sifat Alkena,https://youtu.be/RFwvlbHmP-w?feature=shared
10,Kimia,Hidrokarbon,Tata Nama Alkuna,https://youtu.be/4VcIrw5GAJI?feature=shared
10,Kimia,Hidrokarbon,Sifat Sifat Alkuna,https://youtu.be/CFhseX0AAc0?feature=shared
10,Kimia,Hidrokarbon,Minyak Bumi,https://youtu.be/km-XtGXqudU?feature=shared
10,Kimia,Hidrokarbon,Isomer Alkuna,https://youtu.be/TZ2QjgT1-28?feature=shared
10,Kimia,Hidrokarbon,Kekhasan Atom Karbon,https://youtu.be/37D7flxb1zU?feature=shared
10,Kimia,Minyak Bumi dan Gas Alam,Pembentukan dan Pengelolaan Minyak Bumi dan Gas Alam,https://youtu.be/Nl7-D3-hb5Y?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Struktur Atom,https://youtu.be/KCiTpncnBwY?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Konfigurasi Elektron,https://youtu.be/UVUe1GlTd4Q?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Bilangan Kuantum,https://youtu.be/ep3MiBjdktg?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Lambang Atom,https://youtu.be/AARB4fWn8E0?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Menentukan Golongan dan Periode Berdasarkan Teori Atom,https://youtu.be/DgSjgXOvdiY?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Perkembangan Sistem Periodik Unsur,https://youtu.be/S1ln3T1zKzc?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Sifat Sifat Periodik Unsur,https://youtu.be/Ycsfg7Ftjes?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Ikatan Ion,https://youtu.be/W7zcSE2ZkqE?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Ikatan Kovalen,https://youtu.be/_OVr1w3Cwsg?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Kaidah Oktet,https://youtu.be/9ql-aqW4rEk?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Bentuk Molekul,https://youtu.be/m_6yfSWdI7Y?feature=shared
11,Kimia,"Struktur Atom, Sistem Periodik Unsur, dan Ikatan Kimia",Gaya Antar Partikel,https://youtu.be/2XiBBQV_9o4?feature=shared
11,Kimia,Termokimia,Entalpi dan Perubahan Entalpi,https://youtu.be/FjNThpLAkOY?feature=shared
11,Kimia,Termokimia,Menentukan Perubahan Entalpi Reaksi berdasarkan Data Kalorimeter,https://youtu.be/tpcP-Hg1_Y4?feature=shared
11,Kimia,Termokimia,Jenis Jenis Perubahan Entalpi Standard,https://youtu.be/d9TJdIL82Fg?feature=shared
11,Kimia,Termokimia,Menentukan Perubahan Entalalpi Reaksi berdasarkan Perubahan Entalpi Pembentuk Standard,https://youtu.be/UDutI0H2k1k?feature=shared
11,Kimia,Termokimia,Menentukan Perubahan Entalpi berdasarkan Data Energi Ikatan,https://youtu.be/63N8RoxjAmM?feature=shared
11,Kimia,Laju Reaksi,Konsentrasi Larutan,https://youtu.be/GgnicNRgzz4?feature=shared
11,Kimia,Laju Reaksi,Konsep Laju Reaksi,https://youtu.be/N55m6-_tAiY?feature=shared
11,Kimia,Laju Reaksi,Teori Tumbukan dan Faktor Pengaruh Laju Reaksi,https://youtu.be/n4VSPF0OlNM?feature=shared
11,Kimia,Laju Reaksi,Contoh Faktor Laju Reaksi,https://youtu.be/l9TqBwXKleE?feature=shared
11,Kimia,Laju Reaksi,Persamaan Laju Reaksi dan Orde Reaksi,https://youtu.be/pQKb7dQ_crY?feature=shared
11,Kimia,Laju Reaksi,Contoh Soal Persamaan Laju Reaksi dan Orde Reaksi,https://youtu.be/Dl4ZP2vTe0M?feature=shared
11,Kimia,Laju Reaksi,Laju Reaksi Rata - Rata dan Sesaat,https://youtu.be/Jz4J6UacQuA?feature=shared
11,Kimia,Kesetimbangan Kimia,Reaksi Kesetimbangan dan Tetapan Kesetimbangan,https://youtu.be/oDR1CJHEq9A?feature=shared
11,Kimia,Kesetimbangan Kimia,Menghitung Tetapan Kesetimbangan berdasarkan Konsentrasi,https://youtu.be/FxYq7zR6Pp8?feature=shared
11,Kimia,Kesetimbangan Kimia,Derajat Disosiasi,https://youtu.be/bpWfgCP9XXk?feature=shared
11,Kimia,Kesetimbangan Kimia,Menghitung Tetapan Kesetimbangan berdasarkan Tekanan,https://youtu.be/UkymNfmCdUM?feature=shared
11,Kimia,Kesetimbangan Kimia,Menghitung Kc dan Kp,https://youtu.be/L9EeSrF3Dlw?feature=shared
11,Kimia,Kesetimbangan Kimia,Faktor yang Mempengaruhi Pergeseran Kesetimbangan,https://youtu.be/K4kDaSHcPrA?feature=shared
11,Kimia,Larutan Asam dan Basa,Teori Asam Basa,https://youtu.be/e_0mceAEvks?feature=shared
11,Kimia,Larutan Asam dan Basa,Indikator Asam Basa,https://youtu.be/4aJckRYT-mk?feature=shared
11,Kimia,Larutan Asam dan Basa,Cara Menentukan pH Larutan Asam,https://youtu.be/AAUKTT-45l0?feature=shared
11,Kimia,Larutan Asam dan Basa,Cara Menentukan pH Larutan Basa,https://youtu.be/wEjzhh9rKbc?feature=shared
11,Kimia,Larutan Asam dan Basa,Pengenceran dan Pencampuran Asam Basa,https://youtu.be/zyEaiIsulsE?feature=shared
11,Kimia,Larutan Asam dan Basa,Reaksi Asam Basa,https://youtu.be/qLlevmxUc1w?feature=shared
11,Kimia,Larutan Asam dan Basa,Menentukan pH Campuran Asam Basa,https://youtu.be/-ot_1mRitUY?feature=shared
11,Kimia,Larutan Asam dan Basa,Titrasi Asam Basa,https://youtu.be/EqMVS53UDNw?feature=shared
11,Kimia,Larutan Asam dan Basa,Asam Lemah dan Asam Kuat,https://youtu.be/Mc3cxcljIxU?feature=shared
11,Kimia,Hidrolisis Garam,Sifat Garam,https://youtu.be/w3VkBDgOadg?feature=shared
11,Kimia,Hidrolisis Garam,Penentuan pH Larutan Garam,https://youtu.be/UmPzr1SJuB4?feature=shared
11,Kimia,Larutan Penyangga,Jenis Jenis Larutan Penyangga,https://youtu.be/N-0aZuKpgzE?feature=shared
11,Kimia,Larutan Penyangga,Pembuatan dan Penentuan pH Larutan Penyangga Asam,https://youtu.be/Z8f6MdEhWI8?feature=shared
11,Kimia,Larutan Penyangga,Pembuatan dan Penentuan pH Larutan Penyangga Basa,https://youtu.be/7lygCW22M4I?feature=shared
11,Kimia,Kelarutan dan Hasil Kali Kelarutan,Hubungan S dengan KSP,https://youtu.be/kxSA-sifJWo?feature=shared
11,Kimia,Kelarutan dan Hasil Kali Kelarutan,Pengaruh Ion Sejenis atau Senama,https://youtu.be/iyn4l465H-c?feature=shared
11,Kimia,Kelarutan dan Hasil Kali Kelarutan,Prakiraan Endapan,https://youtu.be/o0pn2m0voe0?feature=shared
11,Kimia,Kelarutan dan Hasil Kali Kelarutan,Hubungan KSP dan pH,https://youtu.be/LuQSAKHqdQE?feature=shared
11,Kimia,Sistem Koloid,Jenis Jenis Koloid,https://youtu.be/_SoeBjjAdOk?feature=shared
11,Kimia,Sistem Koloid,Sifat Sifat Koloid,https://youtu.be/RqYvEU5McwA?feature=shared
11,Kimia,Sistem Koloid,Pembuatan Koloid,https://youtu.be/0lDYzce-_64?feature=shared
12,Kimia,Sifat Koligatif Larutan,Larutan Elektrolit dan Non Elektrolit,https://youtu.be/U7E69KDX8Z4?feature=shared
12,Kimia,Sifat Koligatif Larutan,Larutan Elektrolit dan Non Elektrolit 2,https://youtu.be/8XW4W0fyQkQ?feature=shared
12,Kimia,Sifat Koligatif Larutan,Penurunan Tekanan Uap,https://youtu.be/5S-4qku6y_o?feature=shared
12,Kimia,Sifat Koligatif Larutan,Kenaikan Titik Didih dan Penurunan Titik Beku,https://youtu.be/OPhRBp1bpYo?feature=shared
12,Kimia,Sifat Koligatif Larutan,Tekanan Osmosis,https://youtu.be/TQe3aurdSXY?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Bilangan Oksidasi dan Konsep Redoks,https://youtu.be/gYXwYWJO2LM?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Penyetaraan Reaksi Metode Peubahan Biloks,https://youtu.be/zNNCLZHOgfk?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Penyetaraan Reaksi Metode Setengah Reaksi,https://youtu.be/OOeFHM4bGq4?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Penyetaraan Reaksi Redoks Kasus Khusus,https://youtu.be/f4CqTnnFUZw?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Sel Volta,https://youtu.be/AYdiEfZgEeU?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Contoh Soal Sel Volta,https://youtu.be/YvK_qgB1Oqs?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Sel Volta dalam Kehidupan Sehari Hari,https://youtu.be/BdG5Bf24KmQ?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Reaksi Sel Elektrolisis,https://youtu.be/iH1UaG-T-pw?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Reaksi Sel Elektrolisis dalam Industri,https://youtu.be/bo_8yF1CifM?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Hukum Faraday,https://youtu.be/HTr4NL4nHPo?feature=shared
12,Kimia,"Reaksi Redoks, Elektrokimia, dan Elektrolisis",Contoh Sola Hukum Faraday,https://youtu.be/RAU9xah7vYo?feature=shared
12,Kimia,Kimia Unsur,Gas Mulia,https://youtu.be/n63kHaAN7NU?feature=shared
12,Kimia,Kimia Unsur,Halogen,https://youtu.be/Fh7mCJHGmqM?feature=shared
12,Kimia,Kimia Unsur,Logam Alkali,https://youtu.be/2soKDX2wWls?feature=shared
12,Kimia,Kimia Unsur,Logam Alkali Tanah,https://youtu.be/_lSbk90IB2g?feature=shared
12,Kimia,Kimia Unsur,Kelimpahan dan Sifat Unsur Unsur Periode 3,https://youtu.be/7Qhj1dGdrjM?feature=shared
12,Kimia,Kimia Unsur,Pembuatan dan Kegunaan Unsur Periode 3,https://youtu.be/QNDNg71rwB8?feature=shared
12,Kimia,Kimia Unsur,Kelimpahan dan Sifat Unsur Unsur Golongan Transisis Periode 4,https://youtu.be/rSyJ08ta9tg?feature=shared
12,Kimia,Kimia Unsur,Pembuatan dan Kegunaan Unsur Unsur Golongan Transisis Periode 4,https://youtu.be/Q_e0bIrY6pg?feature=shared
12,Kimia,Kimia Unsur,Ion Kompleks,https://youtu.be/AZjhARSRUJk?feature=shared
12,Kimia,Kimia Unsur,Contoh Soal Ion Kompleks,https://youtu.be/2n0jjxc3S5s?feature=shared
12,Kimia,Kimia Unsur,Senyawa Kompleks,https://youtu.be/xyh8VO4o74s?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,"Gugus Fungsi, Struktur, dan Deret Homolog",https://youtu.be/aBx9pkOusMA?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Tatanama Alkohol,https://youtu.be/yqZ-7z7erxg?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Tatanama Eter,https://youtu.be/ZIYMFpzlv_4?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Tatanama Aldehid,https://youtu.be/yEmxsOjK9Dg?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Tatanama Keton,https://youtu.be/K3ojEnCQJW0?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Tatanama Asam Karbosilat,https://youtu.be/uFvUUGr5HM4?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Tatanama Ester,https://youtu.be/Z-qSOww7tvU?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Tatanama Haloalkana,https://youtu.be/fFExKqAGF4E?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Isomer Senyawa Karbon Turunan Alkana,https://youtu.be/3JPKqUTiHnQ?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Contoh Soal Isomer Senyawa Karbon Turunan Alkana,https://youtu.be/mqtkNBGhcwk?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Isomer Optik,https://youtu.be/8_F0_6q-ZxI?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Reaksi Umum dan Reaksi Alkohol,https://youtu.be/yEAj1Eb9xA0?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Reaksi Eter - Alkil Halida,https://youtu.be/HcOga1JKOgo?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Pembuatan Senyawa Turunan Alkana,https://youtu.be/b0s6CAWF7y0?feature=shared
12,Kimia,Senyawa Karbon Turunan Alkana,Contoh Soal Reaksi dan Pembuatan Senyawa Karbon,https://youtu.be/1S0AZimp-t4?feature=shared
